FullName,ImpactFactor
Journal of Development Economics,3.945
Cambridge Journal of Mathematics,3.94
Journal of Allergy and Clinical Immunology,3.935
Human Resource Management Review,3.934
Environmental Chemistry Letters,3.929
Trends in Genetics,3.928
Advanced Fiber Materials,3.919
Energy Economics,3.919
Duke Mathematical Journal,3.913
International Journal of Educational Technology in Higher Education,3.912
IEEE Transactions on Pattern Analysis and Machine Intelligence,3.91
Genome Research,3.909
Ecology Letters,3.905
Qualitative Psychology,3.904
Mycosphere,3.903
Renewable and Sustainable Energy Reviews,3.901
Trends in Immunology,3.895
Sports Medicine,3.887
Brookings Papers on Economic Activity,3.884
Cancer Research,3.879
International Journal of Research in Marketing,3.869
Studies in Mycology,3.867
Journal of Personality and Social Psychology,3.865
IEEE/CAA Journal of Automatica Sinica,3.863
Journal of Organizational Behavior,3.862
Theoretical Economics,3.857
Radiology,3.856
Journal of Urban Economics,3.854
Translational Neurodegeneration,3.85
Communications on Pure and Applied Mathematics,3.848
Water Research,3.843
Cell Discovery,3.842
Educational Research Review,3.839
The Lancet Rheumatology,3.837
Endocrine Pathology,3.832
Med,3.815
World Politics,3.81
Strategy Science,3.806
IEEE Transactions on Automatic Control,3.804
Wiley Interdisciplinary Reviews: Climate Change,3.803
Pharmacology and Therapeutics,3.8
Cell Reports,3.796
Critical Reviews in Environmental Science and Technology,3.788
Arthritis and Rheumatology,3.784
ACS Catalysis,3.782
Advanced Science,3.775
npj Flexible Electronics,3.774
Trends in Pharmacological Sciences,3.771
JACC: CardioOncology,3.768
Journal of Strategic Information Systems,3.765
Aggregate,3.76
Journal of the American Society of Nephrology,3.749
Biogeotechnics,3.744
Annals of Neurology,3.736
SmartMat,3.725
Advanced Drug Delivery Reviews,3.721
Advances in Applied Energy,3.721
Astrophysical Journal Letters,3.713
Chem Catalysis,3.71
Plant Cell,3.704
Cold Spring Harbor Perspectives in Biology,3.699
New Astronomy Reviews,3.697
"Annual Review of Control, Robotics, and Autonomous Systems",3.69
Environmental Science and Technology,3.69
IEEE Transactions on Neural Networks and Learning Systems,3.686
Human Resource Management,3.663
IEEE Geoscience and Remote Sensing Magazine,3.662
Journal of Management Information Systems,3.652
Clinical and Molecular Hepatology,3.635
eClinicalMedicine,3.633
Journal of Manufacturing Systems,3.633
Cancer Immunology Research,3.63
IEEE Transactions on Power Systems,3.629
Allergy: European Journal of Allergy and Clinical Immunology,3.622
Diabetologia,3.617
Energy and Environmental Materials,3.615
IEEE Transactions on Fuzzy Systems,3.614
Business Strategy and the Environment,3.609
Diabetes Technology and Therapeutics,3.609
Gut Microbes,3.609
Biometrika,3.605
Alzheimer's and Dementia,3.6
Information Systems Journal,3.599
Journal of Product Innovation Management,3.598
eBioMedicine,3.591
Journal of Advanced Ceramics,3.591
ESMO Open,3.582
Eco-Environment and Health,3.58
Trends in Molecular Medicine,3.577
International Materials Reviews,3.574
EMBO Molecular Medicine,3.571
British Journal of Political Science,3.563
Opto-Electronic Advances,3.557
National Health Statistics Reports,3.555
Plant Communications,3.552
JAMA Network Open,3.546
International Journal of Plasticity,3.531
Metabolism: Clinical and Experimental,3.529
JACC: Cardiovascular Interventions,3.527
JHEP Reports,3.525
Computer Assisted Language Learning,3.513
Frontiers in Ecology and the Environment,3.513
Clinical Gastroenterology and Hepatology,3.509
One Earth,3.509
Journal of Business Research,3.499
Psychology and Marketing,3.497
IEEE Transactions on Evolutionary Computation,3.495
IEEE Transactions on Communications,3.492
Acta Pharmaceutica Sinica B,3.489
Review of Environmental Economics and Policy,3.488
Trends in Endocrinology and Metabolism,3.485
ISPRS Journal of Photogrammetry and Remote Sensing,3.48
Nature Computational Science,3.472
Technological Forecasting and Social Change,3.472
Global Strategy Journal,3.471
Earth-Science Reviews,3.463
European Journal of Information Systems,3.459
Leukemia,3.458
Journal of Integrative Plant Biology,3.455
Journal of Public Administration Research and Theory,3.454
Journal of Economic Theory,3.443
Research Policy,3.443
Journal of Retailing and Consumer Services,3.439
Organizational Psychology Review,3.434
Journal of Politics,3.428
International Journal of Transgender Health,3.422
European Urology Oncology,3.419
Seminars in Immunology,3.417
Circulation: Arrhythmia and Electrophysiology,3.416
IEEE Transactions on Industrial Informatics,3.416
"Journal of Cachexia, Sarcopenia and Muscle",3.416
Energy Material Advances,3.415
Proceedings of the National Academy of Sciences of the United States of America,3.414
Earth System Dynamics,3.412
Energy Reviews,3.411
FEMS Microbiology Reviews,3.408
Protection and Control of Modern Power Systems,3.398
Journal of Energy Chemistry,3.394
Ecological Monographs,3.383
International Journal of Extreme Manufacturing,3.38
eLife,3.379
"Journal of Neurology, Neurosurgery and Psychiatry",3.379
Annals of Internal Medicine,3.378
European Journal of Political Research,3.377
Annual Review of Materials Research,3.376
Redox Biology,3.374
Chinese Journal of Catalysis,3.373
Foundations and Trends in Robotics,3.37
npj Precision Oncology,3.37
Strategic Entrepreneurship Journal,3.37
Theranostics,3.37
Journal of Interactive Marketing,3.366
Production and Operations Management,3.364
Drugs,3.362
IEEE Journal of Solid-State Circuits,3.362
Journal of the Association of Environmental and Resource Economists,3.361
Journal of Cell Biology,3.359
Annual Review of Biomedical Data Science,3.356
Applied Mechanics Reviews,3.356
Global Environmental Change,3.355
Cardiovascular Diabetology,3.353
Journal of Service Management,3.348
"Astrophysical Journal, Supplement Series",3.344
Computers and Education,3.343
Journal of Innovation and Knowledge,3.341
Journal of Research in Interactive Marketing,3.336
Journal of Experimental and Clinical Cancer Research,3.328
Annals of Probability,3.326
Structural Equation Modeling,3.321
Journal of the Royal Statistical Society. Series B: Statistical Methodology,3.308
Technovation,3.308
Annual Review of Animal Biosciences,3.307
Geometric and Functional Analysis,3.303
Small,3.301
Immunological Reviews,3.298
Trends in Plant Science,3.297
Biomarker Research,3.296
New Phytologist,3.293
Medical Image Analysis,3.289
ACS Central Science,3.286
Journal of Magnesium and Alloys,3.282
IEEE Communications Magazine,3.281
World Bank Research Observer,3.281
Computer Science Review,3.276
Progress in Aerospace Sciences,3.27
Revista Espanola de Cardiologia (English edition),3.267
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",3.254
Trends in Food Science and Technology,3.247
Journal of Corporate Finance,3.246
European Journal of Epidemiology,3.241
International Economic Review,3.238
Molecular Metabolism,3.235
Financial Management,3.226
Archive for Rational Mechanics and Analysis,3.223
Journal of Internal Medicine,3.223
Advanced Composites and Hybrid Materials,3.214
AI Open,3.212
Journal of Hospitality Marketing and Management,3.212
Current Directions in Psychological Science,3.211
Journal of Statistical Software,3.211
Academy of Management Discoveries,3.207
Journal of Financial Intermediation,3.204
American Psychologist,3.2
Journal of Sport and Health Science,3.197
Current Opinion in Plant Biology,3.193
"Qualitative Research in Sport, Exercise and Health",3.193
Human Reproduction Open,3.19
npj Urban Sustainability,3.185
Journal of Neuroinflammation,3.183
Light: Advanced Manufacturing,3.177
Journal of Biomedical Science,3.172
Energy Materials and Devices,3.171
Medicinal Research Reviews,3.169
Annual Review of Biomedical Engineering,3.168
Computational Visual Media,3.166
Journal of Environmental Economics and Management,3.165
Microbiology and Molecular Biology Reviews,3.165
Clinical Reviews in Allergy and Immunology,3.163
EuroIntervention,3.16
Trends in Microbiology,3.152
Journal of Clinical Epidemiology,3.149
Mucosal Immunology,3.148
Environment International,3.145
British Journal of Cancer,3.144
Cold Spring Harbor Perspectives in Medicine,3.141
International Journal of Contemporary Hospitality Management,3.141
International Journal of Mining Science and Technology,3.137
ILR Review,3.136
International Journal of Computer Vision,3.136
Radiology: Artificial Intelligence,3.128
Journal of the Association for Information Systems,3.119
Carbon Research,3.116
Business and Society,3.113
American Journal of Clinical Dermatology,3.104
Journal of Management Inquiry,3.103
Journal of Travel Research,3.1
"Trauma, Violence, and Abuse",3.093
Experimental Hematology and Oncology,3.092
Advances in Colloid and Interface Science,3.09
Small Structures,3.09
Progress in Human Geography,3.087
IEEE Transactions on Power Electronics,3.083
Optica,3.08
Review of Economic Dynamics,3.08
Journal of Hazardous Materials,3.078
American Journal of Hematology,3.076
Neuroscience and Biobehavioral Reviews,3.076
Cellular and Molecular Gastroenterology and Hepatology,3.069
Contemporary Accounting Research,3.069
Psychological Review,3.064
Europace,3.057
Health systems in transition,3.055
Automatica,3.054
Journal of Family Business Strategy,3.053
Current Obesity Reports,3.044
Journal of the European Mathematical Society,3.043
Journal of Prevention of Alzheimer's Disease,3.04
Circulation: Cardiovascular Interventions,3.039
Journal of Business Ethics,3.039
Annual Review of Chemical and Biomolecular Engineering,3.037
Circulation: Heart Failure,3.037
Digital Journalism,3.037
Current Opinion in Psychology,3.036
International Journal of Oral Science,3.035
Clinical and Translational Medicine,3.03
eTransportation,3.03
Nano Materials Science,3.03
Human Resource Management Journal,3.027
JACC: Clinical Electrophysiology,3.027
Small Business Economics,3.025
American Journal of Kidney Diseases,3.024
Political Behavior,3.021
SIAM Review,3.021
Computer-Aided Civil and Infrastructure Engineering,3.012
Transport Reviews,3.011
Artificial Intelligence Review,3.01
Neurology: Neuroimmunology and NeuroInflammation,3.008
IEEE Transactions on Industrial Electronics,3.006
BMJ Mental Health,3.005
European Respiratory Review,3.005
Journal of the American Academy of Child and Adolescent Psychiatry,3.005
Obesity Reviews,3.005
Wiley Interdisciplinary Reviews: RNA,3.005
Biomaterials,2.998
Clinical Infectious Diseases,2.992
Journal of Crohn's and Colitis,2.991
EcoMat,2.988
Journal of Child Psychology and Psychiatry and Allied Disciplines,2.988
Movement Disorders,2.988
BMJ,2.976
Acta Materialia,2.972
npj Breast Cancer,2.968
Nano Letters,2.967
ACM Transactions on Graphics,2.965
IEEE Transactions on Robotics,2.965
Public Administration Review,2.964
Nano Today,2.962
Composites Part B: Engineering,2.961
Applied Psychology,2.958
"Vital and Health Statistics, Series 2: Data Evaluation and Methods Research",2.958
Communications Earth and Environment,2.953
Studies in Science Education,2.951
Cancer,2.947
Molecular Aspects of Medicine,2.947
Methods in Ecology and Evolution,2.945
Seminars in Immunopathology,2.945
Systematic Biology,2.945
Green Carbon,2.944
JACS Au,2.944
Neuropsychopharmacology,2.944
Comprehensive Reviews in Food Science and Food Safety,2.935
Annals of PDE,2.932
Landscape and Urban Planning,2.932
Communications in Partial Differential Equations,2.926
Computers in Human Behavior,2.923
Developmental Review,2.92
Information and Management,2.92
Work and Occupations,2.918
JCI Insight,2.917
Engineering Geology,2.916
International Journal of Advertising,2.914
npj Parkinson's Disease,2.914
Long Range Planning,2.909
Current Opinion in Structural Biology,2.908
Critical Reviews in Biochemistry and Molecular Biology,2.907
npj Climate and Atmospheric Science,2.907
Plant Biotechnology Journal,2.907
Aging Cell,2.905
Applied Physics Reviews,2.904
Interdisciplinary Medicine,2.903
National Science Review,2.903
Applied Energy,2.902
Blood Advances,2.901
Alimentary Pharmacology and Therapeutics,2.892
Robotics and Computer-Integrated Manufacturing,2.892
Automation in Construction,2.89
Biochimica et Biophysica Acta - Reviews on Cancer,2.885
Materials Horizons,2.885
Additive Manufacturing,2.877
Cytokine and Growth Factor Reviews,2.877
International Journal of Operations and Production Management,2.876
Child Development Perspectives,2.875
"Resources, Conservation and Recycling",2.872
Memoirs of the American Mathematical Society,2.87
Sustainable Cities and Society,2.869
Journal of Materials Science and Technology,2.865
Biochar,2.862
Government Information Quarterly,2.861
Organization,2.861
Physical Review Letters,2.856
Work and Stress,2.848
Assessing Writing,2.847
BMC Medicine,2.846
Autoimmunity Reviews,2.844
Sustainable Technology and Entrepreneurship,2.84
JAMA Dermatology,2.839
Food Hydrocolloids,2.837
Communications in Transportation Research,2.836
Educational Researcher,2.835
npj Computational Materials,2.835
Basic Research in Cardiology,2.834
Current Environmental Health Reports,2.833
International Journal of Production Economics,2.833
Journal des Mathematiques Pures et Appliquees,2.833
Journal of Educational Psychology,2.833
Autism in Adulthood,2.832
Trends in Chemistry,2.824
IEEE Transactions on Intelligent Vehicles,2.821
Earth's Future,2.819
International Journal of Nursing Studies,2.819
Innovation and Green Development,2.817
Green Energy and Intelligent Transportation,2.816
American Journal of Sociology,2.811
Journal of Democracy,2.811
Annual Review of Criminology,2.8
Journal of Structural Biology: X,2.8
"New Technology, Work and Employment",2.795
Nous,2.795
Geometry and Topology,2.794
Journal of Vocational Behavior,2.793
Hypertension,2.788
Materials Today Catalysis,2.786
Current Opinion in Cell Biology,2.78
Annual Review of Physical Chemistry,2.779
Liver Cancer,2.779
Cell Death and Disease,2.773
American Journal of Obstetrics and Gynecology,2.772
Innovation Materials,2.772
Environmental Science and Technology Letters,2.768
Journal of Business Logistics,2.768
Annual Review of Statistics and Its Application,2.766
IEEE Reviews in Biomedical Engineering,2.762
Cancer Letters,2.756
EMBO Reports,2.756
Materials Reports: Energy,2.756
West European Politics,2.753
Anaesthesia,2.751
International Journal of Press/Politics,2.748
Milbank Quarterly,2.745
Clinical Microbiology and Infection,2.742
Current Opinion in Immunology,2.74
Critical Care,2.738
Transportation Research Part C: Emerging Technologies,2.734
Journal of Sustainable Tourism,2.733
International Journal of Hospitality Management,2.731
npj Quantum Information,2.73
Reviews in Aquaculture,2.729
Nano Convergence,2.728
Political Science Research and Methods,2.724
Probability and Mathematical Physics,2.722
Journal of Rock Mechanics and Geotechnical Engineering,2.719
Family Business Review,2.718
International Journal of Biological Sciences,2.715
Multivariate Behavioral Research,2.711
Alzheimer's Research and Therapy,2.709
Current Biology,2.707
"Brain, Behavior, and Immunity",2.704
Journal of Stroke,2.702
Environmental Politics,2.7
mAbs,2.699
The Lancet Regional Health - Americas,2.698
Global Food Security,2.697
Chemical Engineering Journal,2.696
International Journal of Epidemiology,2.695
Energy Policy,2.692
European Journal of Cancer,2.691
PLoS Biology,2.691
British Journal of Educational Technology,2.69
Angiogenesis,2.689
IEEE Signal Processing Magazine,2.685
Genetics in Medicine,2.683
Environmental Impact Assessment Review,2.681
Opto-Electronic Science,2.681
Laser and Photonics Reviews,2.679
Econometric Theory,2.674
Persoonia: Molecular Phylogeny and Evolution of Fungi,2.674
Brain Stimulation,2.666
Investigative Radiology,2.666
Green Energy and Environment,2.664
Pharmacological Research,2.664
Statistics Surveys,2.664
Biotechnology Advances,2.662
Cell Chemical Biology,2.659
Energy Conversion and Management,2.659
Stroke,2.659
Satellite Navigation,2.658
ACS Materials Letters,2.655
JAMA Health Forum,2.653
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,2.651
Compositio Mathematica,2.649
Reliability Engineering and System Safety,2.647
Small Methods,2.638
Mechanical Systems and Signal Processing,2.636
Probability Theory and Related Fields,2.631
IEEE Transactions on Medical Imaging,2.629
"Advances in Atomic, Molecular and Optical Physics",2.628
CCS Chemistry,2.624
IEEE Transactions on Transportation Electrification,2.622
Industrial Marketing Management,2.621
Seminars in Cell and Developmental Biology,2.62
International Review of Sport and Exercise Psychology,2.614
Science Bulletin,2.614
Child and Adolescent Mental Health,2.613
Nature Mental Health,2.613
