category,journal_title,e_issn,impact_factor,impact_factor_raw
Agricultural and Biological Sciences,PLANT JOURNAL,1365-313X,6.2,6.2
Agricultural and Biological Sciences,Animal Nutrition,2405-6545,6.1,6.1
Agricultural and Biological Sciences,PLANT PHYSIOLOGY AND BIOCHEMISTRY,1873-2690,6.1,6.1
Agricultural and Biological Sciences,Weather and Climate Extremes,2212-0947,6.1,6.1
Agricultural and Biological Sciences,Frontiers of Environmental Science & Engineering,2095-221X,6.1,6.1
Agricultural and Biological Sciences,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,1938-1344,6.0,6
Agricultural and Biological Sciences,Crop Journal,2214-5141,6.0,6
Agricultural and Biological Sciences,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1873-2305,6.0,6
Agricultural and Biological Sciences,PLANT CELL AND ENVIRONMENT,1365-3040,6.0,6
Agricultural and Biological Sciences,Journal of Environmental Informatics,1684-8799,6.0,6
Agricultural and Biological Sciences,Urban Climate,2212-0955,6.0,6
Agricultural and Biological Sciences,Environmental Sciences Europe,2190-4715,6.0,6
Agricultural and Biological Sciences,CRITICAL REVIEWS IN PLANT SCIENCES,1549-7836,6.0,6
Agricultural and Biological Sciences,Journal of Environmental Sciences,1878-7320,5.9,5.9
Agricultural and Biological Sciences,LAB ANIMAL,1548-4475,5.9,5.9
Agricultural and Biological Sciences,Scientific Data,2052-4463,5.8,5.8
Agricultural and Biological Sciences,Environmental Research Letters,1748-9326,5.8,5.8
Agricultural and Biological Sciences,AMBIO,1654-7209,5.8,5.8
Agricultural and Biological Sciences,Horticultural Plant Journal,2468-0141,5.7,5.7
Agricultural and Biological Sciences,Fundamental Research,2667-3258,5.7,5.7
Agricultural and Biological Sciences,AGRICULTURAL AND FOREST METEOROLOGY,1873-2240,5.6,5.6
Agricultural and Biological Sciences,JOURNAL OF EXPERIMENTAL BOTANY,1460-2431,5.6,5.6
Agricultural and Biological Sciences,Rice Science,1876-4762,5.6,5.6
Agricultural and Biological Sciences,PHYSIOLOGIA PLANTARUM,1399-3054,5.4,5.4
Agricultural and Biological Sciences,Neuroscience of Consciousness,2057-2107,3.1,3.1
Agricultural and Biological Sciences,AgriEngineering,2624-7402,3.0,3
Agricultural and Biological Sciences,PHYSIOLOGY & BEHAVIOR,1873-507X,2.4,2.4
Agricultural and Biological Sciences,EuroChoices,1746-692X,2.4,2.4
Agricultural and Biological Sciences,Journal of Agricultural Engineering,2239-6268,2.4,2.4
Agricultural and Biological Sciences,International Journal of Agricultural and Biological Engineering,1934-6352,2.2,2.2
Agricultural and Biological Sciences,Agrekon,2078-0400,1.6,1.6
Agricultural and Biological Sciences,CANADIAN JOURNAL OF PLANT PATHOLOGY,1715-2992,1.6,1.6
Agricultural and Biological Sciences,PLANT MOLECULAR BIOLOGY REPORTER,1572-9818,1.6,1.6
Agricultural and Biological Sciences,JOURNAL OF AMBULATORY CARE MANAGEMENT,1550-3267,1.6,1.6
Agricultural and Biological Sciences,International Journal of Population Data Science (IJPDS),2399-4908,1.6,1.6
Agricultural and Biological Sciences,MethodsX,2215-0161,1.6,1.6
Agricultural and Biological Sciences,LICHENOLOGIST,1096-1135,1.6,1.6
Agricultural and Biological Sciences,JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,0974-1275,1.6,1.6
Agricultural and Biological Sciences,JOURNAL OF ENVIRONMENTAL ENGINEERING,1943-7870,1.6,1.6
Agricultural and Biological Sciences,SOIL & SEDIMENT CONTAMINATION,1549-7887,1.6,1.6
Agricultural and Biological Sciences,Aerosol Science and Engineering,2510-3768,1.6,1.6
Agricultural and Biological Sciences,AIMS Environmental Science,2372-0352,1.6,1.6
Agricultural and Biological Sciences,Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,2038-5625,1.6,1.6
Agricultural and Biological Sciences,Nitrogen,2504-3129,1.6,1.6
Agricultural and Biological Sciences,International Food and Agribusiness Management Review,1559-2448,1.5,1.5
Agricultural and Biological Sciences,Agricultural Finance Review,2041-6326,1.5,1.5
Agricultural and Biological Sciences,Cliometrica,1863-2513,1.5,1.5
Agricultural and Biological Sciences,Economic and Political Studies-EPS,2470-4024,1.5,1.5
Agricultural and Biological Sciences,Journal of Veterinary Cardiology,1875-0834,1.5,1.5
Agricultural and Biological Sciences,Medical Anthropology,1545-5882,1.5,1.5
Agricultural and Biological Sciences,Journal of Veterinary Science,1976-555X,1.5,1.5
Agricultural and Biological Sciences,EVALUATION AND PROGRAM PLANNING,1873-7870,1.5,1.5
Agricultural and Biological Sciences,CULTURE MEDICINE AND PSYCHIATRY,1573-076X,1.5,1.5
Agricultural and Biological Sciences,Statistics and Public Policy,2330-443X,1.5,1.5
Agricultural and Biological Sciences,Asia-Pacific Journal of Sport Medicine Arthroscopy Rehabilitation and Technology,2214-6873,1.5,1.5
Agricultural and Biological Sciences,JOURNAL OF BIOSOCIAL SCIENCE,1469-7599,1.5,1.5
Agricultural and Biological Sciences,ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,2219-0635,1.5,1.5
Agricultural and Biological Sciences,Annali di Igiene Medicina Preventiva e di Comunita,1120-9135,1.5,1.5
Agricultural and Biological Sciences,JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION,1547-3317,1.5,1.5
Agricultural and Biological Sciences,Sports Engineering,1460-2687,1.5,1.5
Agricultural and Biological Sciences,Journal of Advanced Veterinary and Animal Research,2311-7710,1.5,1.5
Agricultural and Biological Sciences,CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,1469-2147,1.5,1.5
Agricultural and Biological Sciences,Anthropology & Medicine,1469-2910,1.5,1.5
Agricultural and Biological Sciences,Fottea,N/A,1.5,1.5
Agricultural and Biological Sciences,Operations Research for Health Care,2211-6923,1.5,1.5
Agricultural and Biological Sciences,INTERNATIONAL JOURNAL OF PLANT SCIENCES,1537-5315,1.5,1.5
Agricultural and Biological Sciences,JOURNAL OF AQUATIC ANIMAL HEALTH,1548-8667,1.5,1.5
Agricultural and Biological Sciences,JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,1365-2885,1.5,1.5
Agricultural and Biological Sciences,PHYCOLOGIA,2330-2968,1.5,1.5
Agricultural and Biological Sciences,PHYTOPARASITICA,1876-7184,1.5,1.5
Agricultural and Biological Sciences,JBI Evidence Synthesis,2689-8381,1.5,1.5
Agricultural and Biological Sciences,OMEGA-JOURNAL OF DEATH AND DYING,1541-3764,1.5,1.5
Agricultural and Biological Sciences,American Journal of Hospice & Palliative Medicine,1938-2715,1.5,1.5
Agricultural and Biological Sciences,Telemedicine Reports,2692-4366,1.5,1.5
Agricultural and Biological Sciences,AUSTRALIAN SYSTEMATIC BOTANY,1446-5701,1.5,1.5
Agricultural and Biological Sciences,PLANT SYSTEMATICS AND EVOLUTION,1615-6110,1.5,1.5
Agricultural and Biological Sciences,QUANTITATIVE FINANCE,1469-7696,1.5,1.5
Agricultural and Biological Sciences,Journal of Berry Research,1878-5123,1.5,1.5
Agricultural and Biological Sciences,Records of Natural Products,1307-6167,1.5,1.5
Agricultural and Biological Sciences,Botany Letters,2381-8115,1.5,1.5
Agricultural and Biological Sciences,SOUTH AFRICAN JOURNAL OF SCIENCE,1996-7489,1.5,1.5
Agricultural and Biological Sciences,Tropical Plant Pathology,1983-2052,1.5,1.5
Agricultural and Biological Sciences,TURKISH JOURNAL OF BOTANY,1303-6106,1.5,1.5
Agricultural and Biological Sciences,Ethiopian Journal of Health Sciences,2413-7170,1.5,1.5
Agricultural and Biological Sciences,PLANT BREEDING,1439-0523,1.5,1.5
Agricultural and Biological Sciences,Plant Physiology Reports,2662-2548,1.5,1.5
Agricultural and Biological Sciences,ENVIRONMENTAL FORENSICS,1527-5930,1.5,1.5
Agricultural and Biological Sciences,Mires and Peat,1819-754X,1.5,1.5
Agricultural and Biological Sciences,Journal of Tropical Meteorology,1006-8775,1.5,1.5
Agricultural and Biological Sciences,Journal of Consumer Sciences,0378-5254,1.5,1.5
Agricultural and Biological Sciences,Revista Brasileira de Engenharia Agricola e Ambiental,1807-1929,1.4,1.4
Agricultural and Biological Sciences,Transactions of the ASABE,2151-0040,1.4,1.4
Agricultural and Biological Sciences,ECONOMIC HISTORY REVIEW,1468-0289,1.4,1.4
Agricultural and Biological Sciences,SOCIAL & LEGAL STUDIES,1461-7390,1.4,1.4
Agricultural and Biological Sciences,Social Epistemology,1464-5297,1.4,1.4
Agricultural and Biological Sciences,Archives of Budo,1643-8698,1.4,1.4
Agricultural and Biological Sciences,QUALITATIVE INQUIRY,1552-7565,1.4,1.4
Agricultural and Biological Sciences,Kotuitui-New Zealand Journal of Social Sciences Online,1177-083X,1.4,1.4
Agricultural and Biological Sciences,JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE,1532-7604,1.4,1.4
Agricultural and Biological Sciences,VETERINARY ANAESTHESIA AND ANALGESIA,1467-2995,1.4,1.4
Agricultural and Biological Sciences,Social Inclusion,2183-2803,1.4,1.4
Agricultural and Biological Sciences,Methods Data Analyses,2190-4936,1.4,1.4
Agricultural and Biological Sciences,PEDIATRIC EXERCISE SCIENCE,1543-2920,1.4,1.4
Agricultural and Biological Sciences,International Journal of Emergency Services,2047-0908,1.4,1.4
Agricultural and Biological Sciences,Veterinary Parasitology- Regional Studies and Reports,2405-9390,1.4,1.4
Agricultural and Biological Sciences,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,1873-2534,1.4,1.4
Agricultural and Biological Sciences,Iranian Journal of Science and Technology Transaction A-Science,2364-1819,1.4,1.4
Agricultural and Biological Sciences,PALYNOLOGY,1558-9188,1.4,1.4
Agricultural and Biological Sciences,CLINICAL BIOMECHANICS,1879-1271,1.4,1.4
Agricultural and Biological Sciences,New Bioethics-A Multidisciplinary Journal of Biotechnology and the Body,2050-2885,1.4,1.4
Agricultural and Biological Sciences,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,2168-3824,1.4,1.4
Agricultural and Biological Sciences,Journal of Behavioral Science,1906-4675,1.4,1.4
Agricultural and Biological Sciences,CRYPTOGAMIE ALGOLOGIE,1776-0984,1.4,1.4
Agricultural and Biological Sciences,JOURNAL OF AGING AND PHYSICAL ACTIVITY,1543-267X,1.4,1.4
Agricultural and Biological Sciences,BMJ Innovations,2055-642X,1.4,1.4
Agricultural and Biological Sciences,SIAM Journal on Financial Mathematics,1945-497X,1.4,1.4
Agricultural and Biological Sciences,TECHNOLOGY AND HEALTH CARE,1878-7401,1.4,1.4
Agricultural and Biological Sciences,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1727-9380,1.4,1.4
Agricultural and Biological Sciences,Decisions in Economics and Finance,1129-6569,1.4,1.4
Agricultural and Biological Sciences,International Journal of Asia Pacific Studies,1823-6243,1.4,1.4
Agricultural and Biological Sciences,Notulae Botanicae Horti Agrobotanici Cluj-Napoca,1842-4309,1.4,1.4
Agricultural and Biological Sciences,WILDERNESS & ENVIRONMENTAL MEDICINE,1545-1534,1.4,1.4
Agricultural and Biological Sciences,Brazilian Journal of Botany,1806-9959,1.4,1.4
Agricultural and Biological Sciences,JOURNAL OF AGRICULTURAL METEOROLOGY,1881-0136,1.4,1.4
Agricultural and Biological Sciences,Plant Biotechnology,N/A,1.4,1.4
Agricultural and Biological Sciences,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,2083-5906,1.4,1.4
Agricultural and Biological Sciences,POLAR RECORD,1475-3057,1.4,1.4
Agricultural and Biological Sciences,Archives of Environmental Protection,2083-4810,1.4,1.4
Agricultural and Biological Sciences,Russian Meteorology and Hydrology,1934-8096,1.4,1.4
Agricultural and Biological Sciences,Agricultural and Resource Economics Review,2372-2614,1.3,1.3
Agricultural and Biological Sciences,Culture Agriculture Food and Environment,2153-9561,1.3,1.3
Agricultural and Biological Sciences,Critical African Studies,2040-7211,1.3,1.3
Agricultural and Biological Sciences,Quantitative Methods for Psychology,2292-1354,1.3,1.3
Agricultural and Biological Sciences,JOURNAL OF HISTORICAL GEOGRAPHY,1095-8614,1.3,1.3
Agricultural and Biological Sciences,Jamba-Journal of Disaster Risk Studies,2072-845X,1.3,1.3
Agricultural and Biological Sciences,Cogent Social Sciences,2331-1886,1.3,1.3
Agricultural and Biological Sciences,Journal of Veterinary Behavior-Clinical Applications and Research,1878-7517,1.3,1.3
Agricultural and Biological Sciences,Journal of Sport Rehabilitation,1543-3072,1.3,1.3
Agricultural and Biological Sciences,VETERINARY SURGERY,1532-950X,1.3,1.3
Agricultural and Biological Sciences,VETERINARY RADIOLOGY & ULTRASOUND,1740-8261,1.3,1.3
Agricultural and Biological Sciences,Veterinary Record Open,2052-6113,1.3,1.3
Agricultural and Biological Sciences,BUSINESS HISTORY REVIEW,2044-768X,1.3,1.3
Agricultural and Biological Sciences,Journal of Veterinary Research,2450-8608,1.3,1.3
Agricultural and Biological Sciences,JOURNAL OF MEDICINE AND PHILOSOPHY,1744-5019,1.3,1.3
Agricultural and Biological Sciences,JOURNAL OF EQUINE VETERINARY SCIENCE,1542-7412,1.3,1.3
Agricultural and Biological Sciences,NEW GENETICS AND SOCIETY,1469-9915,1.3,1.3
Agricultural and Biological Sciences,AMERICAN JOURNAL OF VETERINARY RESEARCH,1943-5681,1.3,1.3
Agricultural and Biological Sciences,AUSTRALIAN VETERINARY JOURNAL,1751-0813,1.3,1.3
Agricultural and Biological Sciences,AVIAN DISEASES,1938-4351,1.3,1.3
Agricultural and Biological Sciences,Journal of Spatial and Organizational Dynamics,1647-3183,1.3,1.3
Agricultural and Biological Sciences,Social Theory & Health,1477-822X,1.3,1.3
Agricultural and Biological Sciences,Montenegrin Journal of Sports Science and Medicine,1800-8763,1.3,1.3
Agricultural and Biological Sciences,Topics in Companion Animal Medicine,1946-9837,1.3,1.3
Agricultural and Biological Sciences,Open Access Journal of Sports Medicine,1179-1543,1.3,1.3
Agricultural and Biological Sciences,African Journal of Disability,2226-7220,1.3,1.3
Agricultural and Biological Sciences,BioSocieties,1745-8560,1.3,1.3
Agricultural and Biological Sciences,Applied Network Science,2364-8228,1.3,1.3
Agricultural and Biological Sciences,DISCRETE DYNAMICS IN NATURE AND SOCIETY,1607-887X,1.3,1.3
Agricultural and Biological Sciences,WEED TECHNOLOGY,1550-2740,1.3,1.3
Agricultural and Biological Sciences,PhytoKeys,1314-2003,1.3,1.3
Agricultural and Biological Sciences,QME-Quantitative Marketing and Economics,1573-711X,1.3,1.3
Agricultural and Biological Sciences,CHEMISTRY AND ECOLOGY,1029-0370,1.3,1.3
Agricultural and Biological Sciences,Phytochemistry Letters,1876-7486,1.3,1.3
Agricultural and Biological Sciences,Computational Management Science,1619-6988,1.3,1.3
Agricultural and Biological Sciences,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,1851-5657,1.3,1.3
Agricultural and Biological Sciences,JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1477-2213,1.3,1.3
Agricultural and Biological Sciences,Egyptian Journal of Botany,2357-0350,1.3,1.3
Agricultural and Biological Sciences,Invasive Plant Science and Management,1939-747X,1.3,1.3
Agricultural and Biological Sciences,WEED BIOLOGY AND MANAGEMENT,1445-6664,1.3,1.3
Agricultural and Biological Sciences,Data Science in Finance and Economics,2769-2140,1.3,1.3
Agricultural and Biological Sciences,African Journal of Science Technology Innovation & Development,2042-1346,1.3,1.3
Agricultural and Biological Sciences,Environmental Health Engineering and Management Journal,2423-4311,1.3,1.3
Agricultural and Biological Sciences,Adaptive Human Behavior and Physiology,2198-7335,1.2,1.2
Agricultural and Biological Sciences,Journal of the ASABE,2769-3287,1.2,1.2
Agricultural and Biological Sciences,Journal of the History of Economic Thought,1469-9656,1.2,1.2
Agricultural and Biological Sciences,European Review of Economic History,1474-0044,1.2,1.2
Agricultural and Biological Sciences,Social Science Japan Journal,1468-2680,1.2,1.2
Agricultural and Biological Sciences,International Journal of Care and Caring,2397-883X,1.2,1.2
Agricultural and Biological Sciences,Gender Technology & Development,0973-0656,1.2,1.2
Agricultural and Biological Sciences,Sexuality & Culture-An Interdisciplinary Journal,1936-4822,1.2,1.2
Agricultural and Biological Sciences,JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION,1943-4936,1.2,1.2
Agricultural and Biological Sciences,JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,1827-1928,1.2,1.2
Agricultural and Biological Sciences,Journal of East Asian Studies,2234-6643,1.2,1.2
Agricultural and Biological Sciences,Longitudinal and Life Course Studies,1757-9597,1.2,1.2
Agricultural and Biological Sciences,HISTORY OF POLITICAL ECONOMY,1527-1919,1.2,1.2
Agricultural and Biological Sciences,VETERINARY CLINICAL PATHOLOGY,1939-165X,1.2,1.2
Agricultural and Biological Sciences,Sport Sciences for Health,1825-1234,1.2,1.2
Agricultural and Biological Sciences,Archives of Budo Science of Martial Arts and Extreme Sports,2300-8822,1.2,1.2
Agricultural and Biological Sciences,ADAPTIVE BEHAVIOR,1741-2633,1.2,1.2
Agricultural and Biological Sciences,JOURNAL OF BRYOLOGY,1743-2820,1.2,1.2
Agricultural and Biological Sciences,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,1360-0451,1.2,1.2
Agricultural and Biological Sciences,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1984-2961,1.2,1.2
Agricultural and Biological Sciences,Translational Sports Medicine,2573-8488,1.2,1.2
Agricultural and Biological Sciences,Annual Plant Reviews Online,2639-3832,1.2,1.2
Agricultural and Biological Sciences,JOURNAL OF HERBS SPICES AND MEDICINAL PLANTS,1540-3580,1.2,1.2
Agricultural and Biological Sciences,Bradleya,0265-086X,1.2,1.2
Agricultural and Biological Sciences,JOURNAL OF APPLIED BOTANY AND FOOD QUALITY,1439-040X,1.2,1.2
Agricultural and Biological Sciences,Czech Journal of Genetics and Plant Breeding,1805-9325,1.2,1.2
Agricultural and Biological Sciences,METEOROLOGISCHE ZEITSCHRIFT,1610-1227,1.2,1.2
Agricultural and Biological Sciences,Kuwait Journal of Science,2307-4116,1.2,1.2
Agricultural and Biological Sciences,CLIMATE RESEARCH,1616-1572,1.2,1.2
Agricultural and Biological Sciences,Plant Genetic Resources-Characterization and Utilization,1479-263X,1.2,1.2
Agricultural and Biological Sciences,Jove-Journal of Visualized Experiments,1940-087X,1.2,1.2
Agricultural and Biological Sciences,EuroBiotech Journal,2564-615X,1.2,1.2
Agricultural and Biological Sciences,Journal of Sedimentary Environments,2447-9462,1.2,1.2
Agricultural and Biological Sciences,Baghdad Science Journal,2411-7986,1.2,1.2
Agricultural and Biological Sciences,International Journal Of Recycling of Organic Waste in Agriculture,2251-7715,1.2,1.2
Agricultural and Biological Sciences,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,2250-1754,1.2,1.2
Agricultural and Biological Sciences,ARO-The Scientific Journal of Koya University,2410-9355,1.2,1.2
Agricultural and Biological Sciences,JOURNAL OF AQUATIC PLANT MANAGEMENT,0146-6623,1.2,1.2
Agricultural and Biological Sciences,Proceedings of the Indian National Science Academy,2454-9983,1.2,1.2
Agricultural and Biological Sciences,Journal of Physical Science,2180-4230,1.2,1.2
Agricultural and Biological Sciences,Integrative Psychological and Behavioral Science,1936-3567,1.1,1.1
Agricultural and Biological Sciences,International and Multidisciplinary Journal of Social Sciences-RIMCIS,2014-3680,1.1,1.1
Agricultural and Biological Sciences,Field Methods,1552-3969,1.1,1.1
Agricultural and Biological Sciences,International Journal of Childrens Rights,1571-8182,1.1,1.1
Agricultural and Biological Sciences,Journal of Lesbian Studies,1540-3548,1.1,1.1
Agricultural and Biological Sciences,AMERICAN JOURNAL OF EVALUATION,1557-0878,1.1,1.1
Agricultural and Biological Sciences,JOURNAL OF WILDLIFE DISEASES,1943-3700,1.1,1.1
Agricultural and Biological Sciences,Electronic Journal of Information Systems in Developing Countries,1681-4835,1.1,1.1
Agricultural and Biological Sciences,DISEASES OF AQUATIC ORGANISMS,1616-1580,1.1,1.1
Agricultural and Biological Sciences,JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE,1476-4431,1.1,1.1
Agricultural and Biological Sciences,JOURNAL OF VETERINARY MEDICAL SCIENCE,1347-7439,1.1,1.1
Agricultural and Biological Sciences,Journal of Poverty and Social Justice,1759-8281,1.1,1.1
Agricultural and Biological Sciences,NEW ZEALAND VETERINARY JOURNAL,1176-0710,1.1,1.1
Agricultural and Biological Sciences,JOURNAL OF VETERINARY MEDICAL EDUCATION,1943-7218,1.1,1.1
Agricultural and Biological Sciences,THEORETICAL MEDICINE AND BIOETHICS,1573-1200,1.1,1.1
Agricultural and Biological Sciences,Settler Colonial Studies,1838-0743,1.1,1.1
Agricultural and Biological Sciences,Apunts Sports Medicine,2666-5069,1.1,1.1
Agricultural and Biological Sciences,REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,1806-9290,1.1,1.1
Agricultural and Biological Sciences,VETERINARY CLINICS OF NORTH AMERICA-EQUINE PRACTICE,1558-4224,1.1,1.1
Agricultural and Biological Sciences,Journal of Science in Sport and Exercise,2662-1371,1.1,1.1
Agricultural and Biological Sciences,Palliative Medicine Reports,2689-2820,1.1,1.1
Agricultural and Biological Sciences,JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,2366-049X,1.1,1.1
Agricultural and Biological Sciences,Journal of Quantitative Analysis in Sports,1559-0410,1.1,1.1
Agricultural and Biological Sciences,ANNALS OF THE MISSOURI BOTANICAL GARDEN,2162-4372,1.1,1.1
Agricultural and Biological Sciences,Journal of Dance Medicine & Science,2374-8060,1.1,1.1
Agricultural and Biological Sciences,JOURNAL OF PHYTOPATHOLOGY,1439-0434,1.1,1.1
Agricultural and Biological Sciences,Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,1754-338X,1.1,1.1
Agricultural and Biological Sciences,Journal of Applied Biomechanics,1543-2688,1.1,1.1
Agricultural and Biological Sciences,PLANT SPECIES BIOLOGY,1442-1984,1.1,1.1
Agricultural and Biological Sciences,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1678-2690,1.1,1.1
Agricultural and Biological Sciences,JOURNAL OF MOTOR BEHAVIOR,1940-1027,1.1,1.1
Agricultural and Biological Sciences,ACTA BOTANICA CROATICA,1847-8476,1.1,1.1
Agricultural and Biological Sciences,Journal of Healthcare Quality Research,2603-6479,1.1,1.1
Agricultural and Biological Sciences,Translational Journal of the American College of Sports Medicine,2379-2868,1.1,1.1
Agricultural and Biological Sciences,Botanical Sciences,2007-4476,1.1,1.1
Agricultural and Biological Sciences,PHYSICAL GEOGRAPHY,1930-0557,1.1,1.1
Agricultural and Biological Sciences,RUSSIAN JOURNAL OF PLANT PHYSIOLOGY,1608-3407,1.1,1.1
Agricultural and Biological Sciences,Indian Journal of Palliative Care,1998-3735,1.1,1.1
Agricultural and Biological Sciences,ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,1477-2639,1.1,1.1
Agricultural and Biological Sciences,Plant Ecology and Evolution,2032-3921,1.1,1.1
Agricultural and Biological Sciences,Health SA Gesondheid,2071-9736,1.1,1.1
Agricultural and Biological Sciences,TUEXENIA,0722-494X,1.1,1.1
Agricultural and Biological Sciences,Asian Journal of Atmospheric Environment,2287-1160,1.1,1.1
Agricultural and Biological Sciences,Pollution,2383-4501,1.1,1.1
Agricultural and Biological Sciences,Ornamental Horticulture-Revista Brasileira de Horticultura Ornamental,2447-536X,1.1,1.1
Agricultural and Biological Sciences,ACTA SOCIETATIS BOTANICORUM POLONIAE,2083-9480,1.1,1.1
Agricultural and Biological Sciences,Chinese Science Bulletin-Chinese,2095-9419,1.1,1.1
Agricultural and Biological Sciences,CURRENT SCIENCE,0011-3891,1.1,1.1
Agricultural and Biological Sciences,Scientific Papers-Series Management Economic Engineering in Agriculture and Rural Development,2285-3952,1.0,1
Agricultural and Biological Sciences,International Journal of Testing,1532-7574,1.0,1
Agricultural and Biological Sciences,GLQ-A JOURNAL OF LESBIAN AND GAY STUDIES,1527-9375,1.0,1
Agricultural and Biological Sciences,History of the Family,1873-5398,1.0,1
Agricultural and Biological Sciences,BUSINESS HISTORY,1743-7938,1.0,1
Agricultural and Biological Sciences,Law Technology and Humans,2652-4074,1.0,1
Agricultural and Biological Sciences,Asian Journal of Social Science,1568-5314,1.0,1
Agricultural and Biological Sciences,CRIME LAW AND SOCIAL CHANGE,1573-0751,1.0,1
Agricultural and Biological Sciences,INTERDISCIPLINARY SCIENCE REVIEWS,1743-2790,1.0,1
Agricultural and Biological Sciences,SCIENCE & SOCIETY,1943-2801,1.0,1
Agricultural and Biological Sciences,APPLIED PSYCHOLOGICAL MEASUREMENT,1552-3497,1.0,1
Agricultural and Biological Sciences,International Journal of Alcohol and Drug Research,1925-7066,1.0,1
Agricultural and Biological Sciences,AMERICAN JOURNAL OF MEDICAL QUALITY,1555-824X,1.0,1
Agricultural and Biological Sciences,Conflict Resolution Quarterly,1541-1508,1.0,1
Agricultural and Biological Sciences,JOURNAL OF MATHEMATICAL ECONOMICS,1873-1538,1.0,1
Agricultural and Biological Sciences,CANADIAN JOURNAL OF PLANT SCIENCE,1918-1833,1.0,1
Agricultural and Biological Sciences,FOLIA GEOBOTANICA,1874-9348,1.0,1
Agricultural and Biological Sciences,Journal of Crop Improvement,1542-7536,1.0,1
Agricultural and Biological Sciences,Annali di Botanica,2239-3129,1.0,1
Agricultural and Biological Sciences,JOURNAL OF GENERAL PLANT PATHOLOGY,1610-739X,1.0,1
